,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
50,16,84,52,23,24,21,11
60,38,41,55,90,95,104,46
70,61,102,73,155,231,271,111
80,232,249,142,236,333,413,279
90,307,209,191,357,304,322,235
100,262,194,229,312,415,249,342
110,333,223,282,285,306,262,218
120,272,174,279,196,242,234,222
130,210,210,239,143,158,155,281
140,205,188,194,84,126,97,194
150,108,146,192,94,102,89,153
160,111,83,107,152,100,72,113
170,82,62,78,72,47,55,90
180,56,56,78,71,27,52,80
190,34,48,51,77,22,46,65
200,25,46,32,37,21,32,62
210,11,64,15,28,19,22,55
220,8,40,9,15,17,5,40
230,5,24,4,22,32,6,30
240,6,6,0,10,17,3,14
250,10,5,0,17,0,6,18
260,10,6,0,6,0,4,5
270,11,0,0,5,0,4,2
280,3,0,0,4,0,2,2
290,3,0,0,9,0,5,3
300,1,0,0,12,0,10,5
310,0,0,0,11,0,5,3
320,0,0,0,10,0,0,0
330,0,0,0,5,0,0,0
340,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0
